Timestamp,In which region do you live?,What is your gender,How old are you?,Please give details of your school education,What is your occupation?,Are you aware of the novel coronavirus outbreak?,What do you know about the new coronavirus disease?,What kind of information have you received about the disease?                                                                                Mark all answers that are true:,Where did you hear about the new coronavirus from? Mark all channels that you heard about the disease from:,Which channel/who do you trust the most to receive information related tocoronavirus? Check the best channel for you to receive coronavirus information from:,How dangerous do you think the new coronavirus risk is? Choose the best answer that matches your belief about the disease:,Who do you think is at highest risk to get the coronavirus? Mark all those you think are likely to become sick:,Do you think you are likely to become sick with the new coronavirus ?,How does the coronavirus spread? Mark all the ways you think the disease spreads:,What are the main symptoms? Mark all the symptoms you think are caused by the new coronavirus:,Do you know how to prevent it? Choose all the prevention steps you know about:,What have you and your family done to to prevent becoming sick with coronavirus in the recent days?Mark all steps that you have taken:,Do you consider important to take actions to prevent the spread of coronavirus in your community?,What to do if you or someone from your family has symptoms of this disease? Mark all the actions you would take:,What more would you like to know about the disease?Choose all topics that you would like to know about:,Do you think the coronavirus disease is generating stigma against specific people? ,(If yes) Which group is being dis-criminated in your community because of coronavirus?,What do you usually do if you have a regular flu? Mark the 1-2 most typical actions you take:,From where/who do you usually receive information on flu and other diseases? Choose as many channels as you have heard about regular flu from:
2020/04/30 8:57:22 AM GMT,Volta,Male,31,Tertiary/University,Tax officer,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends,TV,Very dangerous,Elderly persons;Health workers,Yes,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,Symptoms of the new coronavirus disease;What to do if you have the symptoms,Yes,,I go to the health unit,Radio;TV;Health unit/Health care worker
2020/04/30 9:02:57 AM GMT,Central,Male,38,Tertiary/University,Civil servant ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;Social Media (not WhatsApp);Family members;Friends,Health unit/Health care worker;Community health workers;Red Cross Red Crescent volunteers,Very dangerous,Adolescents up to 15 years old;Youth;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,How to treat it,Yes,Chinese;Asian,I go to the health unit,Health unit/Health care worker;Community health workers
2020/04/30 9:06:18 AM GMT,Ashanti,Female,41,Tertiary/University,Teaching,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp),TV,Very dangerous,Elderly persons;Health workers,No,Droplets from infected people;Airborne;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,No,Chinese;Italians,"stay at home, so I don’t infect others;I wear a mask",TV;Health unit/Health care worker
2020/04/30 9:15:00 AM GMT,Volta,Male,34,Tertiary/University,Teaching ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,TV;WhatsApp;Social Media (not WhatsApp),TV;Health unit/Health care worker,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,Will call the emergency line for health professionals to come and take me for quarantine ,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,Yes,,"Nothing, I continue with my normal life, after some time the flu goes away",Radio;TV;Health unit/Health care worker;Family members;Friends;Community health workers
2020/04/30 9:15:26 AM GMT,Greater Accra,Male,21,Tertiary/University,Student ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Any person from the community,Health unit/Health care worker,Very dangerous,Elderly persons,Yes,Direct contact with infected people.;Touching contaminated objects/surfaces,Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;Most at risk groups;How to treat it,Yes,Chinese,"stay at home, so I don’t infect others;I wear a mask",Radio;TV;Health unit/Health care worker
2020/04/30 9:17:44 AM GMT,Eastern,Female,25,Tertiary/University,Teacher,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Religious leaders,TV;WhatsApp,Very dangerous,Elderly persons;Health workers,No,Droplets from infected people;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit,How to treat it,Yes,Chinese,I go to the health unit,Health unit/Health care worker
2020/04/30 9:26:29 AM GMT,Volta,Male,23,Primary/Mid/Secondary,sale man,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Community health workers;Any person from the community,Radio;TV;WhatsApp;Health unit/Health care worker;Family members;Friends;Any person from the community,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Health workers,No,Blood transfusion;Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact;Contact with contaminated animals;Eating contaminated food,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Drink only treated water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups,Yes,,I have never had the flu,social media
2020/04/30 9:26:43 AM GMT,Greater Accra,Male,37,Tertiary/University,Entrepreneur,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders;Any person from the community,Radio;TV,Very dangerous,Children under 5 years old;Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,Most at risk groups,Yes,Africans,"stay at home, so I don’t infect others;I drink tea until I recover",Health unit/Health care worker
2020/04/30 9:27:05 AM GMT,Volta,Male,21,Tertiary/University,Student,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders,TV;Health unit/Health care worker,Very dangerous,Adults;Elderly persons;Health workers,No,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Don't know,I have never had the flu,Radio;TV
2020/04/30 9:27:48 AM GMT,Volta,Female,23,Tertiary/University,Nurse,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp),TV,Very dangerous,Adolescents up to 15 years old;Youth;Adults;Elderly persons;Pregnant women;Health workers,Don´t know,Droplets from infected people;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;Most at risk groups;How to treat it,Yes,Chinese,"Nothing, I continue with my normal life, after some time the flu goes away;I go to the health unit",Health unit/Health care worker
2020/04/30 10:06:32 AM GMT,Volta,Male,34,Primary/Mid/Secondary,Driving,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;How it is transmitted;What to do if you have the symptoms;Risks and complications,TV,TV;WhatsApp,Very dangerous,Children under 5 years old;Elderly persons;Pregnant women;Health workers,Yes,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I will go to the neighborhood nurse,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms,No,,"stay at home, so I don’t infect others;I wear a mask;I go to the health unit",Radio;TV
2020/04/30 10:08:24 AM GMT,Greater Accra,Male,31,Tertiary/University,Self employed ,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Family members;Friends;Religious leaders,Radio;TV;Health unit/Health care worker;Community health workers;Red Cross Red Crescent volunteers,Very dangerous,Adults;Elderly persons;Pregnant women,Don´t know,Droplets from infected people;Airborne;Direct contact with infected people.;Touching contaminated objects/surfaces;Sexual intercourse contact;Contact with contaminated animals,Fever;Cough;Shortness of breath and breathing difficulties;Headache,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well;Avoid unprotected direct contact with live animals and surfaces in contact with animals,Yes,I will go to the hospital / health unit;I would stay in quarantine,Most at risk groups;How to treat it,Yes,Chinese,I go to the health unit,Radio;TV;Health unit/Health care worker
2020/04/30 11:26:57 AM GMT,Volta,Female,29,Tertiary/University,Fashion designer,Yes,It’s a virus that can cause a disease,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Risks and complications,Radio;TV;WhatsApp;Social Media (not WhatsApp);Health unit/Health care worker;Family members;Friends;Community health workers;Community leaders;Religious leaders;Traditional healers;Traditional midwives;Any person from the community,Radio;TV;Health unit/Health care worker,Very dangerous,Elderly persons,Yes,Droplets from infected people;Touching contaminated objects/surfaces,Fever;Cough;Shortness of breath and breathing difficulties;Muscle pain;Headache;Diarrhea,Wash your hands regularly using alcohol or soap and water;Cover your mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough;Cook meat and eggs well,Washing hands regularly using alcohol-based cleaner or soap / water;Covering mouth and nose when coughing or sneezing;Avoid close contact with anyone who has a fever and cough,Yes,I will go to the hospital / health unit;I will go to the neighborhood nurse;I would stay in quarantine,How to protect yourself from the disease?;Symptoms of the new coronavirus disease;How it is transmitted;What to do if you have the symptoms;Most at risk groups;How to treat it,Yes,Chinese,I go to the health unit,Radio;TV
